"userID","stimID","timestamp","enforcementType","users_stimuli_enforcementID"
"SSINL2001832","1","2014-03-13 14:11:32","hardEnforce","345"
"SSINL2001872","1","2014-03-14 06:12:28","hardEnforce","346"
"ERNL10020","1","2014-03-14 10:18:46","hardEnforce","347"
"ERNL10020","1","2014-03-14 10:23:27","hardEnforce","348"
"CINTNL3033848","2","2014-03-14 15:46:48","softEnforce","349"
"CINTNL3038703","0","2014-03-14 16:45:22","hardEnforce","350"
"SSINL2000503","0","2014-03-14 21:23:29","softEnforce","351"
"SSINL2000503","0","2014-03-14 21:23:46","hardEnforce","352"
"SSINL2002110","1","2014-03-15 04:26:28","hardEnforce","353"
"SSINL2002172","1","2014-03-15 04:52:17","hardEnforce","354"
"SSINL2002350","0","2014-03-15 06:19:27","hardEnforce","355"
"SSINL2002350","0","2014-03-15 06:19:48","hardEnforce","356"
"SSINL2001598","2","2014-03-15 06:41:37","softEnforce","357"
"SSINL2001311","1","2014-03-15 07:43:06","hardEnforce","358"
"SSINL2002533","2","2014-03-15 08:45:55","hardEnforce","359"
"SSINL2002588","1","2014-03-15 09:59:31","hardEnforce","360"
"SSINL2002593","1","2014-03-15 10:00:47","hardEnforce","361"
"SSINL2002593","1","2014-03-15 10:01:16","hardEnforce","362"
"SSINL2002593","1","2014-03-15 10:06:34","hardEnforce","363"
"SSINL2002593","1","2014-03-15 10:07:25","hardEnforce","364"
"SSINL2002593","1","2014-03-15 10:10:37","hardEnforce","365"
"SSINL2002650","1","2014-03-15 11:15:57","hardEnforce","366"
"SSINL2002650","1","2014-03-15 11:18:24","hardEnforce","367"
"SSINL2002650","1","2014-03-15 11:19:00","hardEnforce","368"
"SSINL2002650","1","2014-03-15 11:19:52","hardEnforce","369"
"SSINL2002754","1","2014-03-15 15:06:11","hardEnforce","370"
"SSINL2002759","2","2014-03-15 15:06:43","softEnforce","371"
"SSINL2001311","1","2014-03-15 20:54:45","hardEnforce","372"
"SSINL2001311","1","2014-03-15 20:56:31","hardEnforce","373"
"SSINL2001311","1","2014-03-15 20:57:16","hardEnforce","374"
"SSINL2001311","1","2014-03-15 20:57:35","hardEnforce","375"
"SSINL2002847","1","2014-03-16 04:34:00","hardEnforce","376"
"SSINL2002847","1","2014-03-16 04:37:57","hardEnforce","377"
"SSINL2002847","1","2014-03-16 04:43:13","hardEnforce","378"
"SSINL2002864","1","2014-03-16 05:29:29","hardEnforce","379"
"SSINL2002881","1","2014-03-16 05:48:11","hardEnforce","380"
"SSINL2002881","1","2014-03-16 05:48:57","hardEnforce","381"
"SSINL2002957","1","2014-03-16 09:43:42","hardEnforce","382"
"SSINL2002957","1","2014-03-16 09:44:21","hardEnforce","383"
"SSINL2002957","1","2014-03-16 09:44:35","hardEnforce","384"
"SSINL2002961","1","2014-03-16 09:55:13","hardEnforce","385"
"SSINL2002961","1","2014-03-16 09:56:08","hardEnforce","386"
"SSINL2002961","1","2014-03-16 09:57:00","hardEnforce","387"
"SSINL2002961","1","2014-03-16 09:58:48","hardEnforce","388"
"SSINL2002961","1","2014-03-16 09:59:03","hardEnforce","389"
"SSINL2002961","1","2014-03-16 09:59:45","hardEnforce","390"
"SSINL2002961","1","2014-03-16 10:00:46","hardEnforce","391"
"SSINL2001311","1","2014-03-16 10:22:53","hardEnforce","392"
"SSINL2003037","1","2014-03-16 15:21:28","hardEnforce","393"
"SSINL2003037","1","2014-03-16 15:21:55","hardEnforce","394"
"SSINL2003037","1","2014-03-16 15:22:55","hardEnforce","395"
"SSINL2003052","0","2014-03-16 16:55:50","hardEnforce","396"
"SSINL2003052","0","2014-03-16 16:57:10","hardEnforce","397"
